state,district,year,nitrate
Uttar Pradesh,Amroha,2015,35.836666
Uttar Pradesh,Amroha,2016,67.333336
Uttar Pradesh,Amroha,2017,35.836666
Uttar Pradesh,Amroha,2018,117.0
Gujarat,Anand,2000,34.666668
Gujarat,Anand,2001,35.836666
Gujarat,Anand,2002,39.333332
Gujarat,Anand,2003,35.836666
Gujarat,Anand,2004,43.125
Gujarat,Anand,2005,23.777779
Gujarat,Anand,2006,32.799999
Gujarat,Anand,2007,51.0
Gujarat,Anand,2008,54.125
Gujarat,Anand,2009,34.0
Gujarat,Anand,2010,60.125
Gujarat,Anand,2011,38.625
Gujarat,Anand,2012,53.333332
Gujarat,Anand,2013,41.900002
Gujarat,Anand,2014,41.375
Gujarat,Anand,2015,34.599998
Gujarat,Anand,2016,23.700001
Gujarat,Anand,2017,36.615383
Gujarat,Anand,2018,54.5
Andhra Pradesh,Anantapur,2000,98.588234
Andhra Pradesh,Anantapur,2001,112.68
Andhra Pradesh,Anantapur,2002,165.56599
Andhra Pradesh,Anantapur,2003,104.025
Andhra Pradesh,Anantapur,2004,142.61111
Andhra Pradesh,Anantapur,2005,150.18182
Andhra Pradesh,Anantapur,2006,209.39063
Andhra Pradesh,Anantapur,2007,130.77777
Andhra Pradesh,Anantapur,2008,204.83333
Andhra Pradesh,Anantapur,2009,144.66667
Andhra Pradesh,Anantapur,2010,142.66667
Andhra Pradesh,Anantapur,2011,131.125
Andhra Pradesh,Anantapur,2012,112.6087
Andhra Pradesh,Anantapur,2013,89.119354
Andhra Pradesh,Anantapur,2014,154.63333
Andhra Pradesh,Anantapur,2015,127.61111
Andhra Pradesh,Anantapur,2016,264.16129
Andhra Pradesh,Anantapur,2017,150.43478
Andhra Pradesh,Anantapur,2018,151.78918
Jammu And Kashmir,Anantnag,2000,35.836666
Jammu And Kashmir,Anantnag,2001,35.836666
Jammu And Kashmir,Anantnag,2002,35.836666
Jammu And Kashmir,Anantnag,2003,35.836666
Jammu And Kashmir,Anantnag,2004,35.836666
Jammu And Kashmir,Anantnag,2005,35.836666
Jammu And Kashmir,Anantnag,2006,35.836666
Jammu And Kashmir,Anantnag,2007,35.836666
Jammu And Kashmir,Anantnag,2008,35.836666
Jammu And Kashmir,Anantnag,2009,35.836666
Jammu And Kashmir,Anantnag,2010,35.836666
Jammu And Kashmir,Anantnag,2011,35.836666
Jammu And Kashmir,Anantnag,2012,17.0
Jammu And Kashmir,Anantnag,2013,70.0
Jammu And Kashmir,Anantnag,2014,48.0
Jammu And Kashmir,Anantnag,2015,5.6999998
Jammu And Kashmir,Anantnag,2016,23.0
Jammu And Kashmir,Anantnag,2017,35.836666
Jammu And Kashmir,Anantnag,2018,35.836666
Odisha,Anugul,2000,48.645668
Odisha,Anugul,2001,35.836666
Odisha,Anugul,2002,43.281212
Odisha,Anugul,2003,16.287895
Odisha,Anugul,2004,14.131579
Odisha,Anugul,2005,35.836666
Odisha,Anugul,2006,35.836666
Odisha,Anugul,2007,35.836666
Odisha,Anugul,2008,35.836666
Odisha,Anugul,2009,35.836666
Odisha,Anugul,2010,35.836666
Odisha,Anugul,2011,35.836666
Odisha,Anugul,2012,35.836666
Odisha,Anugul,2013,35.836666
Odisha,Anugul,2014,35.836666
Odisha,Anugul,2015,35.836666
Odisha,Anugul,2016,35.836666
Odisha,Anugul,2017,35.836666
Odisha,Anugul,2018,0.0
Madhya Pradesh,Anuppur,2000,35.836666
Madhya Pradesh,Anuppur,2001,22.23077
Madhya Pradesh,Anuppur,2002,25.846153
Madhya Pradesh,Anuppur,2003,35.836666
Madhya Pradesh,Anuppur,2004,34.711113
Madhya Pradesh,Anuppur,2005,10.81
Madhya Pradesh,Anuppur,2006,23.799999
Madhya Pradesh,Anuppur,2007,28.5
Madhya Pradesh,Anuppur,2008,35.836666
Madhya Pradesh,Anuppur,2009,14.83077
Madhya Pradesh,Anuppur,2010,31.666666
Madhya Pradesh,Anuppur,2011,6.3358335
Madhya Pradesh,Anuppur,2012,25.923077
Madhya Pradesh,Anuppur,2013,84.0
Madhya Pradesh,Anuppur,2014,22.352942
Madhya Pradesh,Anuppur,2015,18.25
Madhya Pradesh,Anuppur,2016,9.0625
Madhya Pradesh,Anuppur,2017,9.8095236
Madhya Pradesh,Anuppur,2018,28.9375
Bihar,Araria,2000,35.836666
Bihar,Araria,2001,35.836666
Bihar,Araria,2002,35.836666
Bihar,Araria,2003,35.836666
Bihar,Araria,2004,35.836666
Bihar,Araria,2005,12.0
Bihar,Araria,2006,35.836666
Bihar,Araria,2007,35.836666
Bihar,Araria,2008,35.836666
Bihar,Araria,2009,35.836666
Bihar,Araria,2010,35.836666
Bihar,Araria,2011,35.836666
Bihar,Araria,2012,35.836666
Bihar,Araria,2013,11.8
Bihar,Araria,2014,35.836666
Bihar,Araria,2015,35.836666
Bihar,Araria,2016,22.895555
Bihar,Araria,2017,35.836666
Bihar,Araria,2018,35.836666
Tamilnadu,Ariyalur,2000,9.0
Tamilnadu,Ariyalur,2001,26.966667
Tamilnadu,Ariyalur,2002,35.836666
Tamilnadu,Ariyalur,2003,35.836666
Tamilnadu,Ariyalur,2004,4.8999996
Tamilnadu,Ariyalur,2005,59.0
Tamilnadu,Ariyalur,2006,57.0
Tamilnadu,Ariyalur,2007,24.0
Tamilnadu,Ariyalur,2008,35.836666
Tamilnadu,Ariyalur,2009,2.8333333
Tamilnadu,Ariyalur,2010,5.3333335
Tamilnadu,Ariyalur,2011,33.5
Tamilnadu,Ariyalur,2012,18.666666
Tamilnadu,Ariyalur,2013,61.0
Tamilnadu,Ariyalur,2014,35.836666
Tamilnadu,Ariyalur,2015,23.0
Tamilnadu,Ariyalur,2016,54.400002
Tamilnadu,Ariyalur,2017,45.540001
Tamilnadu,Ariyalur,2018,93.474998
Bihar,Arwal,2000,35.836666
Bihar,Arwal,2001,35.836666
Bihar,Arwal,2002,35.836666
Bihar,Arwal,2003,35.836666
Bihar,Arwal,2004,35.836666
Bihar,Arwal,2005,35.836666
Bihar,Arwal,2006,35.836666
Bihar,Arwal,2007,35.836666
Bihar,Arwal,2008,35.836666
Bihar,Arwal,2009,35.836666
Bihar,Arwal,2010,35.836666
Bihar,Arwal,2011,35.836666
Bihar,Arwal,2012,35.836666
Bihar,Arwal,2013,23.625
Bihar,Arwal,2014,35.836666
Bihar,Arwal,2015,35.836666
Bihar,Arwal,2016,10.807
Bihar,Arwal,2017,35.836666
Bihar,Arwal,2018,35.836666
Madhya Pradesh,Ashoknagar,2000,20.5
Madhya Pradesh,Ashoknagar,2001,31.322222
Madhya Pradesh,Ashoknagar,2002,37.799999
Madhya Pradesh,Ashoknagar,2003,35.836666
Madhya Pradesh,Ashoknagar,2004,47.5
Madhya Pradesh,Ashoknagar,2005,91.181816
Madhya Pradesh,Ashoknagar,2006,112.0
Madhya Pradesh,Ashoknagar,2007,67.0
Madhya Pradesh,Ashoknagar,2008,116.0
Madhya Pradesh,Ashoknagar,2009,47.81818
Madhya Pradesh,Ashoknagar,2010,20.181818
Madhya Pradesh,Ashoknagar,2011,56.363636
Madhya Pradesh,Ashoknagar,2012,72.900002
Madhya Pradesh,Ashoknagar,2013,31.166666
Madhya Pradesh,Ashoknagar,2014,74.966667
Madhya Pradesh,Ashoknagar,2015,35.836666
Madhya Pradesh,Ashoknagar,2016,50.46154
Madhya Pradesh,Ashoknagar,2017,50.095238
Madhya Pradesh,Ashoknagar,2018,34.307693
Uttar Pradesh,Auraiya,2000,44.0
